Gene	full_length	coding_length	GC	CpG	RepliSeq_ENCFF001GNK_GM12878	RepliSeq_ENCFF001GNN_GM12878	RepliSeq_ENCFF001GOW_HeLa-S3	RepliSeq_ENCFF001GRX_K562	RepliSeq_ENCFF001GOA_GM12878	RepliSeq_ENCFF001GSJ_K562	RepliSeq_ENCFF001GSP_K562	RepliSeq_ENCFF001GTK_MCF-7	RepliSeq_ENCFF001GNT_GM12878	RepliSeq_ENCFF001GNR_GM12878	RepliSeq_ENCFF001GNX_GM12878	RepliSeq_ENCFF001GSN_K562	RepliSeq_ENCFF001GSB_K562	RepliSeq_ENCFF001GTH_MCF-7	RepliSeq_ENCFF001GSX_MCF-7	RepliSeq_ENCFF001GSF_K562	RepliSeq_ENCFF001GON_HeLa-S3	RepliSeq_ENCFF001GOQ_HeLa-S3	RepliSeq_ENCFF001GOS_HeLa-S3	RepliSeq_ENCFF001GOJ_HeLa-S3	RepliSeq_ENCFF001GTD_MCF-7	RepliSeq_ENCFF001GTF_MCF-7	RepliSeq_ENCFF001GSV_MCF-7
CENPU	5.32437859412	0.32653734814	0.404	0.471	49.619	3.167	3.286	13.938	1.000	43.800	2.833	1.500	5.909	40.000	1.000	9.000	6.267	9.500	7.500	25.045	22.059	43.214	15.842	3.750	33.217	32.684	16.211
CENPV	3.4548339069	-0.293358942691	0.627	0.847	72.889	8.000	3.500	78.500	1.333	1.571	4.500	1.500	1.500	17.000	1.000	1.625	3.000	3.500	6.500	13.500	16.500	3.500	1.000	7.500	31.833	12.000	44.500
CENPW	7.16522860678	-1.69432125676	0.492	0.716	2.765	3.043	3.300	9.975	14.686	39.949	4.810	29.836	31.388	12.036	38.550	20.257	4.371	30.197	9.864	22.446	19.167	46.762	17.491	5.294	8.806	16.773	5.250
CENPX	2.07587486698	-1.3473987824	0.611	0.635	77.000	9.500	3.000	88.000	1.000	1.500	3.000	1.000	1.000	12.000	1.000	1.000	4.000	1.333	7.400	2.667	8.000	2.000	2.000	8.500	4.000	2.000	85.500
CEP104	5.49674993954	1.47248777146	0.484	0.499	20.190	2.750	2.286	52.393	2.900	4.300	1.500	2.000	30.000	34.143	11.167	2.200	6.500	3.667	6.909	33.615	35.273	24.000	4.571	6.500	36.952	11.400	39.348
CEP112	9.12073554073	1.5993177937	0.410	0.353	3.014	5.311	27.974	11.351	23.280	30.139	10.973	9.632	24.034	5.620	43.431	34.749	5.836	28.672	6.864	29.341	26.553	23.406	37.151	7.336	19.520	31.680	8.330
CEP120	6.29843837578	1.56462205244	0.424	0.331	19.023	2.636	2.250	5.875	2.000	14.281	32.577	5.900	33.870	34.071	8.167	38.250	5.400	24.500	5.308	3.385	40.962	31.242	5.000	5.346	17.594	38.481	8.250
CEP126	6.42712005283	1.74459168654	0.376	0.305	5.071	2.714	2.167	6.412	6.071	7.300	49.825	1.857	38.271	22.310	26.000	23.667	13.370	9.583	5.050	3.462	33.308	31.000	9.348	4.300	37.140	28.907	18.538
CEP128	8.79137129897	1.71457523885	0.444	0.392	3.283	5.640	24.253	10.936	30.556	23.969	29.421	40.735	21.680	5.805	40.971	34.788	6.472	22.405	23.450	9.248	10.450	19.512	35.266	9.360	3.449	7.079	4.937
CEP131	5.06164660838	1.69999574367	0.651	0.526	24.214	5.500	3.500	56.864	1.500	3.000	4.200	2.000	19.300	47.619	2.667	3.500	5.571	2.667	8.600	28.071	14.000	4.000	3.500	6.400	10.714	5.500	71.100
CEP135	6.4018352252	1.77399632511	0.382	0.400	1.750	1.000	4.077	9.000	19.000	43.490	2.000	4.000	32.023	5.619	44.000	6.200	4.000	12.957	7.333	34.529	37.565	8.500	1.800	4.625	28.970	35.270	12.949
CEP152	6.19394911303	2.35895882583	0.406	0.249	8.636	2.429	2.857	10.522	2.111	50.020	2.875	4.500	45.135	30.229	11.808	17.325	2.769	12.917	4.867	18.139	44.167	24.250	2.636	5.846	35.343	27.618	15.457
CEP162	6.69200865762	2.07347750968	0.375	0.233	1.889	5.615	34.256	18.750	42.657	20.618	3.286	47.725	5.931	1.250	43.758	3.714	4.000	17.767	24.800	54.068	2.200	10.857	40.619	7.885	2.167	3.273	5.083
CEP164	6.51552638911	2.1338922702	0.570	0.273	29.513	3.000	3.000	14.929	1.333	21.865	3.053	1.333	15.571	52.075	1.000	3.467	5.519	3.545	7.647	52.365	36.909	17.609	4.118	4.778	40.870	20.357	27.032
CEP170	7.03319171127	2.25761413005	0.431	0.310	10.604	5.429	30.298	12.070	10.209	32.282	9.976	39.370	35.527	19.945	20.956	17.088	8.075	10.409	42.896	26.917	10.100	9.967	28.552	15.140	1.200	2.900	5.048
CEP170B	4.97535504658	2.25308162541	0.672	0.574	50.444	5.833	3.000	56.250	1.000	5.500	4.167	1.000	4.500	37.692	1.000	2.000	8.889	2.667	9.167	22.917	36.833	4.500	2.500	6.000	18.714	5.000	63.818
CEP19	2.58928410667	-0.997117491467	0.421	0.413	64.000	11.500	6.500	55.833	2.500	4.750	3.500	3.500	4.500	14.333	3.000	5.000	2.000	6.333	9.000	27.500	38.000	16.667	4.000	7.000	35.200	12.500	33.143
CEP192	7.06275853709	2.92808602012	0.428	0.337	16.768	2.619	3.227	12.791	2.000	39.182	3.500	2.100	37.942	38.000	3.500	8.909	5.265	5.559	7.227	31.764	34.611	31.500	7.217	5.357	41.815	23.163	21.617
CEP250	5.82227126736	2.87302570105	0.570	0.247	56.657	9.214	3.333	48.400	1.333	3.615	2.700	1.333	1.667	31.731	1.500	3.333	5.133	3.000	6.750	36.885	34.786	5.143	1.619	5.444	15.864	4.667	67.952
CEP290	6.54231996668	2.89472077215	0.351	0.285	1.923	6.038	2.500	11.720	42.980	1.000	43.544	30.333	6.103	1.500	41.153	15.375	25.281	37.421	6.760	3.579	16.718	48.593	18.516	4.000	7.846	14.400	4.412
CEP295	6.10238518594	2.9640289	0.401	0.176	23.167	4.211	21.700	17.333	1.800	23.314	6.650	12.407	27.375	22.182	22.346	27.410	4.000	27.321	4.812	21.853	14.833	15.833	29.957	6.182	18.852	28.486	8.095
CEP295NL	3.65969626581	0.89762767428	0.563	0.404	17.000	3.500	3.000	26.667	1.000	29.400	4.500	1.000	36.750	38.167	4.000	2.667	4.000	2.500	8.500	32.000	11.500	2.000	2.500	9.000	30.000	8.400	49.833
CEP350	7.32290158552	3.22512065568	0.417	0.272	29.916	3.731	3.667	21.543	2.231	11.985	3.871	1.500	14.409	48.596	1.200	3.167	4.629	4.212	7.174	58.586	38.194	6.818	1.538	6.161	42.704	12.500	32.181
CEP41	5.56803210477	0.243669080967	0.493	0.320	8.273	2.000	2.500	9.188	1.000	34.100	1.667	1.600	44.913	43.517	3.400	11.643	4.200	10.333	5.250	40.000	45.308	16.700	2.167	5.700	32.722	42.722	6.667
CEP44	5.63529005428	0.35727047568	0.386	0.233	3.375	8.263	4.000	5.143	40.000	19.593	25.900	39.444	6.522	4.000	38.537	34.111	10.048	27.143	14.500	7.231	29.069	31.880	11.462	7.000	3.100	9.000	7.091
CEP55	5.02152414468	0.477159211187	0.407	0.368	6.444	3.571	1.500	9.143	6.846	29.000	8.500	1.333	42.095	16.211	24.222	40.333	7.444	4.500	6.750	6.111	19.000	4.000	3.000	9.077	23.000	11.167	54.143
CEP57	5.40029882679	0.602171790753	0.406	0.387	12.000	3.500	2.556	10.905	2.200	34.690	3.000	37.731	33.909	37.500	10.538	8.857	5.462	30.118	10.231	36.957	26.533	45.579	15.056	4.333	4.462	11.944	4.182
CEP57L1	6.18000858279	0.587845009254	0.380	0.203	4.067	1.750	1.429	21.735	2.667	21.426	1.600	1.333	47.921	13.969	30.780	2.000	1.000	4.731	6.526	54.179	28.318	29.545	8.250	7.200	45.093	14.480	28.121
CEP63	6.48042670519	1.16092018818	0.419	0.239	3.867	1.400	2.941	15.000	7.174	23.400	6.870	2.000	39.891	15.800	33.093	42.763	7.963	5.786	7.800	4.714	39.125	30.657	6.500	5.214	39.829	21.483	23.677
CEP68	4.93772102576	1.18332770604	0.584	0.248	77.000	7.833	2.286	26.643	1.333	12.500	1.500	1.000	1.000	13.100	1.000	4.000	5.714	3.500	5.429	48.524	38.571	37.333	5.429	3.000	44.667	20.750	24.600
CEP70	6.64450525651	0.905350899581	0.372	0.188	10.861	1.714	1.800	12.515	4.409	10.667	5.765	2.833	37.268	28.170	18.528	3.077	8.833	17.207	7.300	62.900	35.268	32.189	9.737	6.217	26.731	35.051	10.967
CEP72	5.36674184631	0.956800118052	0.585	0.521	18.294	5.200	3.333	6.846	1.000	47.783	5.556	1.500	36.500	35.789	4.000	16.385	4.833	5.500	6.700	18.800	30.778	42.444	6.500	4.500	38.800	30.462	17.643
CEP76	5.35127496122	0.983312871067	0.424	0.428	16.857	2.500	3.200	20.500	2.800	26.545	1.000	1.000	37.625	37.923	3.111	2.833	5.867	4.500	6.571	43.778	31.538	6.778	2.500	5.154	39.417	12.000	37.280
CEP78	5.40517550864	1.12035194037	0.448	0.404	4.000	2.222	9.250	15.125	10.368	31.481	4.273	6.000	29.053	11.056	43.435	17.045	4.714	21.562	6.111	28.500	18.727	32.947	24.929	5.000	20.500	35.875	10.250
CEP83	7.26298744234	1.07792657869	0.375	0.346	41.077	3.970	9.556	7.459	1.714	36.275	7.040	12.804	11.564	41.586	1.000	39.153	5.718	37.722	7.148	8.688	6.857	29.614	45.238	3.806	8.591	27.617	6.370
CEP85	5.48084673667	1.19282540355	0.519	0.299	48.714	9.500	3.400	57.516	2.333	2.833	1.333	3.500	6.556	32.765	1.000	1.833	7.273	3.833	6.333	29.786	37.250	8.500	1.500	5.000	30.750	7.100	49.667
CEP85L	7.96176222035	1.34936527759	0.416	0.283	12.385	2.500	20.991	9.647	3.316	43.065	5.517	31.936	38.561	30.764	15.951	18.125	4.067	34.376	11.139	24.256	8.538	22.718	38.947	6.696	6.872	14.891	5.386
CEP89	6.53965513692	1.23204671335	0.481	0.394	8.462	3.312	3.500	13.211	2.250	23.936	3.500	2.222	47.860	19.774	19.727	5.087	3.867	3.667	7.316	50.945	44.667	17.091	3.000	6.625	30.391	11.955	44.265
CEP95	4.96421377795	1.30041662784	0.423	0.301	35.300	3.714	2.500	30.143	1.286	13.462	3.000	1.000	8.000	52.684	1.538	2.200	4.615	4.667	6.100	46.471	55.056	11.000	1.500	5.000	44.833	21.200	22.100
CEP97	5.52262076104	1.37573453858	0.422	0.304	44.103	8.267	3.222	28.273	1.500	10.833	1.667	6.231	11.357	35.652	2.500	4.500	12.053	18.000	5.750	44.324	42.571	12.750	2.286	5.400	27.100	31.429	11.643
CEPT1	5.51481660708	0.3196179342	0.411	0.285	52.333	5.615	13.333	10.579	1.000	32.955	4.222	3.300	10.308	32.607	1.000	25.059	4.429	20.944	4.500	23.389	12.333	29.000	32.818	4.000	24.864	35.682	10.643
CER1	1.57724753559	-0.320125852253	0.526	0.253	1.500	2.667	52.667	12.400	21.000	30.600	10.000	15.500	21.800	1.333	51.750	20.857	2.333	41.500	6.500	23.333	1.000	2.000	16.000	26.600	7.800	25.200	3.500
CERCAM	4.18523225423	0.835924074254	0.634	0.535	61.571	8.200	3.333	79.077	2.000	1.000	2.000	1.556	1.500	26.000	1.000	3.750	4.400	1.667	5.500	10.750	26.167	3.000	2.000	6.000	8.000	3.500	80.167
CERK	5.7507672717	0.687956494044	0.572	0.663	54.143	9.875	4.200	58.586	2.000	3.167	3.917	1.600	7.333	24.706	2.500	1.500	7.071	1.800	7.857	25.548	18.000	2.667	2.500	6.333	9.700	5.455	74.000
CERKL	6.91209892994	0.743299527888	0.456	0.525	23.242	3.263	1.643	7.938	1.750	2.905	35.433	34.776	26.661	42.982	5.828	4.857	47.750	27.333	10.422	1.667	34.269	39.982	9.136	4.080	8.227	14.750	4.500
CERS1	4.81670209432	0.0717626693001	0.641	0.753	63.818	4.833	3.500	66.500	1.500	1.000	2.000	1.000	1.000	28.786	1.000	2.500	6.143	2.500	8.000	22.444	20.600	3.429	2.000	7.500	12.545	4.000	72.455
CERS2	3.2973381736	0.18903382439	0.520	0.483	76.500	5.667	3.000	74.200	1.000	2.500	1.000	1.000	1.000	16.167	1.000	2.000	6.333	3.571	8.500	14.833	19.500	3.000	2.000	7.000	20.500	5.000	61.000
CERS3	7.17318741124	0.241230035515	0.426	0.375	2.333	2.643	15.357	6.069	6.290	9.020	34.849	7.128	43.433	8.966	38.822	43.607	6.571	27.977	5.069	1.889	9.033	28.077	40.980	4.143	16.909	35.245	7.848
CERS4	5.73031388629	0.241230035515	0.581	0.432	71.000	7.385	3.143	39.846	1.000	3.500	2.714	1.500	1.000	20.267	1.500	1.600	5.583	3.286	8.500	46.286	43.643	13.000	2.000	5.500	17.067	6.667	62.842
CERS5	5.25655781859	0.524063675777	0.503	0.450	63.480	8.118	2.500	67.043	1.000	2.000	4.111	1.000	3.000	24.500	1.000	2.000	7.385	4.333	7.250	17.200	21.750	3.500	2.000	10.556	26.091	6.667	54.500
CERS6	8.31689695035	0.233888060174	0.472	0.443	21.588	5.614	44.958	23.179	2.542	27.184	2.414	7.771	31.273	37.660	7.156	4.871	3.289	25.745	5.125	42.812	2.067	7.568	25.377	24.823	22.137	32.600	9.658
CES1	4.92181713985	0.768925335564	0.528	0.295	1.500	16.000	25.417	7.364	40.105	11.250	27.533	22.000	7.167	2.200	33.500	43.158	5.750	29.222	11.286	5.000	10.667	19.500	23.200	12.750	9.182	24.333	3.500
CES2	3.41251057125	0.902266569083	0.583	0.415	66.200	7.000	2.500	54.364	1.000	3.500	6.333	2.000	1.000	24.500	1.000	4.500	7.500	1.667	9.200	23.500	17.000	2.500	1.500	6.667	19.500	2.500	65.571
CES3	3.79919094424	0.776525151422	0.579	0.363	67.333	8.200	3.333	58.889	1.000	5.667	2.500	1.000	1.000	22.714	1.000	3.000	6.750	2.333	9.200	23.167	20.500	2.500	1.500	7.500	19.429	2.500	64.500
CES4A	4.40381306162	0.761285273362	0.563	0.506	69.500	9.500	3.500	65.714	1.000	3.000	2.000	1.500	1.000	18.857	1.000	1.667	3.571	2.600	6.833	23.733	22.000	2.500	2.000	7.000	18.500	4.400	66.444
CES5A	6.7797587456	0.914564523494	0.524	0.372	2.500	9.000	31.268	3.143	37.981	14.548	24.887	15.575	9.591	1.500	39.882	48.379	6.500	26.143	7.440	3.053	5.533	16.947	32.500	11.000	17.350	28.120	6.393
CETN1	0.746742715778	-0.954557029239	0.552	0.818	8.000	2.000	4.500	19.200	6.667	15.167	1.500	3.667	42.500	18.400	22.167	3.500	3.333	20.750	6.000	57.000	23.500	40.000	17.000	4.500	24.000	35.000	11.500
CETN2	1.7786291259	-0.954557029239	0.430	0.405	3.000	27.000	2.000	35.889	23.000	9.167	1.500	6.667	19.000	3.500	25.500	2.000	4.000	13.000	7.800	49.556	26.500	37.000	20.000	4.500	28.000	27.000	18.500
CETN3	4.04019107184	-0.803392955905	0.363	0.239	6.111	1.500	25.000	28.250	3.000	11.200	2.000	7.857	39.167	24.444	25.200	1.000	5.600	19.857	8.500	53.500	9.000	21.000	33.167	6.500	21.571	32.778	8.400
CETP	4.45430751994	0.564622052437	0.547	0.366	81.333	14.364	2.500	19.273	1.000	29.714	4.333	1.333	1.000	4.000	1.000	3.800	5.167	2.500	7.571	38.933	8.000	3.000	2.000	7.500	38.333	9.800	41.286
CFAP100	5.3791010657	0.874206785878	0.565	0.528	1.500	2.500	3.500	4.571	6.444	49.120	5.125	1.667	33.267	3.500	53.067	29.440	6.889	15.833	4.000	5.923	11.000	49.923	27.923	3.500	24.786	45.357	9.308
CFAP126	1.65672517002	-0.913216233858	0.499	0.196	66.222	6.000	1.500	64.000	1.000	2.500	2.000	2.000	1.500	25.250	1.000	2.000	5.667	3.333	8.000	24.667	42.200	15.000	3.333	6.800	40.600	8.333	38.167
CFAP157	2.81414021731	0.641546029088	0.584	0.355	58.400	8.667	2.667	58.000	1.000	4.500	3.500	1.000	2.000	29.571	1.000	2.500	5.000	2.000	5.000	26.200	16.500	2.400	3.000	8.000	11.500	3.000	77.000
CFAP161	3.90004562651	-0.118726938571	0.491	0.361	26.833	5.500	39.500	40.667	1.000	14.556	1.000	2.000	23.500	40.750	3.000	2.833	6.200	16.167	5.500	35.375	1.333	11.000	34.571	12.000	30.714	35.800	9.500
CFAP20	3.98531826034	-0.788364746673	0.484	0.629	10.143	3.286	2.400	26.600	1.000	19.700	1.000	1.000	47.364	32.833	6.500	3.000	4.000	3.667	10.000	45.600	48.500	20.714	1.500	4.800	47.667	20.000	18.000
CFAP206	5.82023003036	0.89994898619	0.405	0.392	20.143	3.167	4.333	7.438	1.000	54.919	6.952	3.500	16.455	60.389	1.500	9.238	3.000	6.778	6.400	20.031	23.278	44.211	15.200	4.154	37.062	19.964	25.065
CFAP221	6.8103145615	1.33342373373	0.434	0.407	8.971	2.933	6.027	12.841	2.125	43.731	4.680	1.571	41.571	32.549	13.297	25.154	6.241	11.130	5.895	10.576	16.853	40.611	27.327	4.318	34.548	38.192	11.143
CFAP36	4.6716330566	0.138814468902	0.424	0.249	19.000	6.500	1.833	19.545	2.286	18.786	5.000	7.000	27.474	41.714	3.167	3.667	3.500	29.278	6.000	49.125	40.000	11.500	1.333	5.667	17.500	29.923	9.500
CFAP43	6.6793393419	2.32048467802	0.407	0.407	10.054	2.111	2.429	27.231	1.750	31.419	1.500	2.182	43.638	33.089	10.500	3.765	3.444	9.318	5.588	34.966	45.630	25.086	3.500	4.278	36.450	35.143	11.333
CFAP44	7.27225652537	2.47871300244	0.410	0.313	20.730	4.667	6.314	6.441	1.429	18.458	19.630	3.200	23.909	48.768	2.133	52.058	4.192	10.860	6.613	2.111	9.429	35.574	39.419	3.333	36.774	21.580	22.150
CFAP45	4.79457182495	0.72508672463	0.538	0.474	15.833	2.333	5.714	8.636	3.619	49.100	2.167	3.333	29.500	49.000	2.500	14.294	5.500	16.200	5.500	20.222	17.600	30.889	28.300	4.400	26.091	32.667	16.444
CFAP46	7.06817635786	3.02591469875	0.586	0.536	2.684	3.786	3.933	11.318	9.591	48.500	4.115	2.091	33.776	5.886	45.208	11.460	8.667	4.000	7.913	16.057	6.500	41.721	36.543	3.381	39.484	30.878	15.692
CFAP47	8.86289767002	3.26978123827	0.386	0.342	2.394	63.321	35.472	8.985	29.540	3.984	13.540	6.850	1.214	1.333	5.263	2.886	70.407	3.905	77.716	3.340	2.700	10.620	37.328	11.467	2.545	2.778	8.172
CFAP52	6.06248873023	0.895302621333	0.496	0.460	4.625	1.333	2.500	8.200	2.714	14.517	17.375	3.750	45.774	28.065	19.500	47.341	8.957	13.955	10.143	4.941	50.917	16.955	3.100	3.909	25.800	34.160	12.304
CFAP53	5.29752159891	0.624802765253	0.453	0.435	48.304	7.118	18.308	6.286	1.333	33.464	3.286	1.500	11.238	29.938	2.500	16.500	7.417	6.692	7.889	35.464	7.000	23.364	42.467	4.167	36.077	24.308	24.136
CFAP54	8.5924009729	3.2153679722	0.392	0.331	31.397	6.825	17.560	8.067	2.091	14.441	32.595	27.992	24.253	38.234	9.411	40.668	7.640	36.396	9.057	4.324	31.536	26.750	31.696	5.827	6.627	17.206	4.771
CFAP57	6.35806213583	2.0050406167	0.480	0.381	19.062	4.846	2.667	14.368	1.400	36.475	1.500	1.400	24.342	49.086	1.000	3.214	2.200	2.600	6.409	42.851	35.750	17.200	2.833	6.300	45.865	10.786	33.550
CFAP58	6.66287484146	1.38736254084	0.451	0.370	10.054	3.643	7.500	29.638	3.154	25.424	3.882	4.600	36.579	25.773	21.682	14.455	7.394	19.865	7.000	20.579	20.097	33.292	25.562	5.353	23.372	30.595	15.857
CFAP61	8.26767155932	1.90149445505	0.480	0.501	4.400	2.889	22.522	12.026	5.661	6.972	39.672	4.898	36.685	12.055	42.917	34.508	8.656	21.419	6.214	2.795	5.353	21.270	47.071	5.214	26.593	34.101	10.525
CFAP65	5.27448531757	2.62410089463	0.577	0.352	31.000	6.000	3.250	21.480	1.000	14.391	3.400	1.000	12.200	49.800	1.000	3.500	4.714	2.667	6.375	53.143	44.071	35.250	3.000	3.500	45.538	23.000	21.231
CFAP69	6.04198762165	1.49722912879	0.376	0.355	3.455	4.083	9.071	6.308	13.296	9.450	44.463	38.483	25.844	9.273	44.188	24.975	13.576	36.500	11.900	3.467	8.706	36.053	38.263	3.000	3.000	6.789	4.143
CFAP70	6.71564631257	1.75146372117	0.445	0.157	37.068	4.632	2.933	43.656	1.000	4.345	3.476	1.750	11.229	45.930	2.000	1.778	5.087	4.704	8.241	41.667	40.878	7.316	1.632	6.364	41.759	16.389	28.200
CFAP73	3.23557389937	-0.114035243246	0.658	0.710	71.000	10.167	3.000	53.667	1.000	4.000	3.600	1.000	3.500	14.000	1.000	1.000	4.667	5.500	6.500	32.200	28.500	11.333	3.000	5.500	24.500	19.000	45.000
CFAP74	6.35556252936	2.29777835516	0.591	0.555	67.056	8.211	2.500	53.217	1.000	5.739	2.500	1.000	3.182	21.519	1.000	2.588	6.300	2.500	7.909	31.024	39.081	7.000	2.500	6.000	14.500	3.000	72.296
CFAP77	7.34982524732	-0.0588936890536	0.608	0.677	36.118	6.034	3.500	11.446	2.000	32.237	2.231	1.500	19.660	35.043	3.143	3.435	5.438	5.424	5.857	46.695	25.441	41.911	14.192	4.071	39.625	30.036	18.143
CFAP97	5.47141509944	0.709290635723	0.406	0.415	42.964	5.286	7.882	20.440	2.200	28.346	3.700	7.700	20.895	25.762	2.600	19.760	3.600	17.250	6.000	23.897	20.700	19.562	20.667	6.700	25.348	31.895	11.000
CFAP99	5.46005446612	0.954568570753	0.628	0.610	59.824	6.727	2.400	77.647	1.000	2.000	1.500	1.500	2.800	28.591	1.500	2.200	2.444	4.000	5.909	16.167	33.786	4.500	1.600	4.667	14.556	4.556	69.882
CFB	2.61847360308	1.19660704409	0.521	0.374	67.000	9.500	3.500	70.500	1.600	3.000	3.333	1.000	1.000	19.500	1.000	1.000	5.500	2.500	6.500	17.000	17.000	3.000	2.333	8.500	13.500	3.000	73.500
CFC1	2.88966822508	-0.53951952996	0.653	0.795	11.500	3.207	6.000	12.000	8.000	66.333	14.714	5.000	18.000	24.333	46.333	14.333	7.000	7.000	5.800	13.500	14.667	42.250	26.000	6.000	39.667	32.400	10.500
CFC1B	6.29618205762	0.420078115979	0.665	0.777	15.083	3.382	7.000	12.000	9.966	73.538	9.741	6.250	14.667	25.333	50.933	18.917	7.000	8.000	5.812	11.600	11.947	56.960	20.071	10.667	41.704	33.826	11.000
CFD	1.96753753607	-0.358453970912	0.723	0.923	71.000	12.333	4.333	81.000	1.000	2.000	4.500	1.000	1.000	14.500	1.000	1.500	3.500	2.000	5.000	7.500	10.000	2.000	3.000	8.000	5.500	2.500	84.333
CFDP1	7.12701414158	-0.156820109743	0.464	0.337	52.521	9.200	3.652	27.753	1.000	12.803	2.769	1.222	6.429	31.697	1.200	2.333	5.611	4.118	8.188	50.483	31.538	4.148	2.375	7.227	28.379	6.862	52.070
CFH	6.57934611128	1.8890840986	0.399	0.295	2.167	25.280	29.114	6.700	55.622	15.023	29.982	24.172	2.375	2.143	13.163	22.679	21.283	5.889	61.824	6.333	11.577	12.417	21.389	17.524	1.800	2.444	5.091
CFHR1	3.63911637248	-0.0144995696951	0.410	0.361	5.333	28.286	33.125	14.667	42.250	3.500	40.167	38.714	4.000	1.000	18.833	17.400	20.333	8.500	38.800	3.500	10.000	17.400	24.714	10.833	2.000	2.500	9.800
CFHR2	3.95037509321	-0.30400618689	0.384	0.235	4.333	11.167	13.750	7.800	41.143	5.000	47.900	44.500	8.000	2.000	33.222	22.125	14.000	15.800	30.667	3.000	8.333	31.333	34.900	8.333	1.000	2.500	5.000
CFHR3	4.26858410509	-0.0144995696951	0.376	0.287	2.500	21.188	32.900	8.000	58.200	8.333	37.667	38.250	4.000	1.333	16.000	21.750	30.625	8.333	42.833	5.167	10.000	17.143	25.444	13.000	1.000	1.333	8.333
CFHR4	4.94016675048	0.79410389856	0.384	0.220	1.000	11.000	22.500	4.333	49.056	11.846	39.059	44.133	3.714	1.000	34.238	25.217	17.263	11.833	34.818	3.000	6.286	26.700	33.700	7.833	1.333	2.000	6.286
CFHR5	5.00616335411	0.771463058366	0.394	0.318	4.000	4.300	14.667	3.375	44.905	7.615	41.160	48.889	9.167	2.000	35.556	33.905	12.158	18.500	24.455	1.500	15.500	31.222	29.111	5.700	1.500	3.500	4.000
CFI	5.94331187245	0.826192536237	0.424	0.320	12.385	1.000	3.800	48.220	2.000	8.238	1.600	8.471	39.742	35.212	10.950	1.000	2.727	31.250	6.000	39.086	39.000	31.167	4.706	8.167	15.571	31.167	7.611
CFL1	1.81557542886	-1.00578235259	0.552	0.454	75.400	13.286	2.500	76.667	1.000	2.000	1.500	2.000	1.000	9.333	1.000	1.333	4.400	3.500	6.500	14.000	19.500	3.000	3.000	8.000	14.000	6.667	64.333
CFL2	2.15120939288	-0.997117491467	0.373	0.363	29.000	4.667	2.000	26.667	2.667	10.400	4.667	2.000	9.750	52.667	1.000	4.333	6.600	4.000	8.000	46.857	11.000	2.500	2.500	8.250	35.800	8.000	42.000
CFLAR	5.8223477576	0.852797892819	0.466	0.235	68.048	11.619	2.750	78.250	1.750	3.667	4.300	2.222	4.100	13.500	1.000	1.000	2.571	3.500	8.100	11.261	17.409	3.000	1.600	8.500	39.238	20.200	26.300
CFP	2.60715274036	0.492622328574	0.645	0.369	13.000	17.667	2.000	46.000	27.714	10.250	3.000	12.500	11.500	20.333	9.500	5.500	8.333	5.500	17.500	26.800	42.000	12.000	2.000	5.000	30.500	15.000	19.333
CFTR	7.55996590352	2.15055967658	0.415	0.299	5.021	3.269	2.533	6.041	6.750	11.687	39.286	28.954	41.854	15.383	32.386	34.527	10.052	33.316	11.551	3.043	35.903	9.150	2.276	6.750	6.196	14.154	5.211
CGA	3.27052894238	-1.1811494391	0.488	0.309	28.000	1.500	5.000	5.000	2.000	47.857	5.500	1.000	21.857	45.000	3.667	24.167	8.000	12.143	3.500	9.167	16.800	40.500	29.500	3.000	36.200	40.600	6.200
CGB1	0.449957483628	-1.10469737867	0.667	0.575	54.600	4.500	2.500	83.800	3.500	1.000	1.500	1.000	4.333	32.571	1.000	2.500	2.500	3.000	6.167	9.500	38.400	4.500	2.000	4.667	16.500	3.500	70.200
CGB2	0.449957483628	-1.03209362971	0.669	0.567	55.600	5.000	2.500	85.000	3.000	1.000	1.500	1.000	4.500	31.600	1.000	1.500	2.000	3.500	6.167	7.833	37.667	4.500	2.000	5.000	16.571	3.500	70.200
CGB3	0.591679416936	-1.0144995697	0.669	0.576	56.167	5.500	2.500	87.200	3.000	1.500	2.000	1.000	3.500	30.400	1.000	1.500	2.000	4.000	5.667	5.800	37.000	4.000	2.000	4.667	17.000	3.500	69.429
CGB5	0.552868871011	-1.0144995697	0.667	0.579	54.500	3.500	2.333	82.000	2.333	1.333	1.000	1.000	4.500	34.714	1.000	2.500	3.000	2.600	6.000	12.500	39.833	5.000	2.500	5.000	15.800	5.000	70.000
CGB7	0.552868871011	-1.0144995697	0.665	0.545	51.000	3.333	2.000	81.000	1.000	1.000	1.333	1.000	4.500	38.875	1.000	2.000	3.500	2.500	6.333	14.000	39.500	5.000	3.000	5.500	15.500	6.000	68.500
CGB8	0.559736524433	-1.0144995697	0.667	0.579	53.875	3.600	2.333	82.000	2.333	1.333	1.000	1.000	4.000	35.857	1.000	2.500	3.000	2.500	6.000	12.833	40.000	5.000	2.500	5.000	15.429	5.000	70.000
CGGBP1	6.61348745203	-0.997117491467	0.471	0.324	4.643	2.545	4.471	13.744	16.957	17.167	17.705	35.227	27.318	4.696	45.679	22.019	6.880	35.241	9.304	26.088	18.500	39.932	22.706	6.074	4.111	12.357	4.389
